"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at"
"24248","천안입장효계점","충청남도 천안시 서북구 입장면 위례산길 41","","","36.9025061670379","127.224372885179","2022-09-01","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24267","R완도당목항점","전라남도 완도군 약산면 당목길 140","","","34.3780066079478","126.946249878344","2022-09-02","","05:00","21:00",0,0,1,1,1,0,0,0,0,0,1,0,0,"2026-04-29","2026-04-29"
"24283","외대교양관점","경기도 용인시 처인구 모현읍 외대로 81","","","37.337738821579","127.268588980123","2022-09-01","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24345","울산대도서관점","울산광역시 남구 대학로 93","울산대학교 아산도서관신관","","35.54183711963","129.257425346502","2022-09-01","","09:00","21:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24348","외대교양관위성B점","경기도 용인시 처인구 모현읍 외대로 81","교양관1층","","37.337738821579","127.268588980123","2022-09-01","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24349","경주상계점","경상북도 경주시 양남면 동남로 249","","","35.6699357885298","129.424757283144","2022-09-02","","06:00","23:00",0,0,0,1,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24352","중산더퍼스트점","경상북도 경산시 경산로 280","501동 05호","","35.8329846232308","128.723481857307","2022-09-04","","00:00","00:00",1,1,0,1,0,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29"
"24358","관음휴게소점","경상북도 경산시 와촌면 갓바위로 613","","","35.9856178172303","128.747624305055","2022-09-05","","00:00","00:00",1,0,0,1,0,0,0,0,1,0,1,1,0,"2026-04-29","2026-04-29"
"24359","SMART현대기아점","경기도 화성시 남양읍 현대연구소로 150","","","37.1593983647558","126.813524514918","2022-09-19","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24363","광주운암서영점","광주광역시 북구 서강로54번길 22","","","35.1759590875069","126.873385625711","2022-09-01","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,1,0,0,"2026-04-29","2026-04-29"
"24366","경상국립대느티마루위성점","경상남도 진주시 내동면 내동로139번길 8","","","35.1606130528476","128.077750673402","2022-09-02","","00:00","00:00",1,0,0,0,1,0,0,0,1,0,0,1,0,"2026-04-29","2026-04-29"
"24368","R인하대학생휴게관점","인천광역시 미추홀구 인하로 100","인하대학교 학생휴게관 1층","","37.4514480321002","126.651542258118","2022-09-13","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24370","R세종KT&G점","세종특별자치시 한누리대로 411","","","36.5011321800617","127.258850981903","2022-09-01","","06:00","23:00",0,1,0,0,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24374","전주송천솔내점","전북특별자치도 전주시 덕진구 붓내3길 17-25","","","35.8688952255024","127.123595891979","2022-09-08","","00:00","00:00",1,1,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24375","안양골드점","경기도 안양시 만안구 안양로 57-1","","","37.3807164139762","126.936294230639","2022-09-30","","00:00","00:00",1,0,1,1,1,0,1,0,1,0,0,0,0,"2026-04-29","2026-04-29"
"24377","박달한신점","경기도 안양시 만안구 박달로497번길 30","","","37.4039557223726","126.907572051521","2022-09-08","","05:00","01:00",0,0,1,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24378","울산대공학관점","울산광역시 남구 대학로 93","기계항공관 1층","","35.5418759625002","129.257583758208","2022-09-01","","09:00","21:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24380","의정부신도푸르지오점","경기도 의정부시 경의로132번길 78","상가동 102. 103호","","37.729621212537","127.050100868871","2022-09-09","","00:00","00:00",1,1,1,1,1,0,0,0,1,0,0,0,0,"2026-04-29","2026-04-29"
"24381","인하대도서관점","인천광역시 미추홀구 인하로 100","인하대학교 정석학술정보관 B1","","37.4514480321002","126.651542258118","2022-09-15","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24382","인하대5호관점","인천광역시 미추홀구 인하로 100","인하대학교 5호관(남)B1","","37.4514480321002","126.651542258118","2022-09-13","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
