code,title,sido,sigungu,lat,lng,first_seen_at,last_seen_at
VGB48,GS25연초신우점,경남,거제시,34.9136125442511,128.656299698745,2026-04-30,2026-04-30
VGB49,GS25세종금남점,세종,금남면,36.4657489101475,127.281506823479,2026-04-30,2026-04-30
VGB53,GS25대구공고정문점,대구,동구,35.8815803950894,128.613450131777,2026-04-30,2026-04-30
VGB54,GS25부흥중앙점,인천,부평구,37.5016565971471,126.723815065814,2026-04-30,2026-04-30
VGB55,GS25장호원공원점,경기,이천시,37.1165627513752,127.616042400006,2026-04-30,2026-04-30
VGB56,GS25판교H스퀘어점,경기,성남시,37.4012808012264,127.10864211989,2026-04-30,2026-04-30
VGB57,GS25강동원일점,서울,강동구,37.5476529479578,127.127195876256,2026-04-30,2026-04-30
VGB59,GS25청천동아점,인천,부평구,37.5064360185832,126.718350115843,2026-04-30,2026-04-30
VGB62,GS25부평중점,인천,부평구,37.5008713724155,126.730387872764,2026-04-30,2026-04-30
VGB63,GS25부평쌍용점,인천,부평구,37.5058092451706,126.698093067858,2026-04-30,2026-04-30
VGB64,GS25선부빌리지점,경기,안산시,37.3476570402575,126.814604419636,2026-04-30,2026-04-30
VGB65,GS25영등포스타점,서울,영등포구,37.5112589375035,126.9119245708,2026-04-30,2026-04-30
VGB66,GS25부천신흥로점,경기,부천시,37.4919960952513,126.778280758057,2026-04-30,2026-04-30
