"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at"
"20659","R충북혁신밸리점","충청북도 음성군 맹동면 학예로 51","","","36.9134464013316","127.542944777706","2020-08-20","","00:00","00:00",1,0,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"20670","익산신동오렌지점","전북특별자치도 익산시 인북로66길 24","","","35.9600858298685","126.964566103389","2020-08-06","","00:00","00:00",1,1,1,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"20677","동전주IC점","전북특별자치도 전주시 덕진구 전진로 64","","","35.8424805828931","127.175543909049","2020-08-13","","05:00","00:00",0,0,1,1,1,0,0,0,0,0,1,0,0,"2026-04-29","2026-04-29"
"20680","신내우디안점","서울특별시 중랑구 신내역로 165","상가동1층 107~108호","","37.6165592295041","127.109756130023","2020-08-03","","00:00","00:00",1,0,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"20686","은혜관점","충청남도 천안시 동남구 백석대학로 1-7","은혜관 101호","","36.8386585729423","127.181660800223","2020-08-06","","00:00","00:00",1,0,0,0,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"20690","예산삽교산단점","충청남도 예산군 삽교읍 산단3길 238","1층","","36.6768575012107","126.752245875137","2020-08-12","","06:00","22:00",0,0,0,0,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"20695","R영종더호텔점","인천광역시 중구 영종대로 114","","","37.4948434191817","126.491734808586","2020-08-19","","06:00","02:00",0,1,1,1,1,0,1,0,0,0,0,1,0,"2026-04-29","2026-04-29"
"20699","R거창코아루점","경상남도 거창군 거창읍 강남로 266","","","35.6878516291037","127.926289175091","2020-08-13","","00:00","00:00",1,1,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"20703","복산성지점","울산광역시 중구 도화골11길 1","","","35.5663223404229","129.330763234047","2020-08-18","","06:00","01:00",0,1,0,0,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"20711","화정대학길점","울산광역시 동구 대학길 36-1","","","35.498295775124","129.419856805932","2020-08-20","","03:00","00:00",0,0,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
