"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at"
"28324","만수신동아점","인천광역시 남동구 만수로75번길 85","지하층","","37.4660877133186","126.736443474588","2024-08-02","","00:00","00:00",1,1,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28325","성주실리안점","경상북도 성주군 성주읍 성주순환로5길 1","1층","","35.92548240664","128.281463208075","2024-08-31","","06:00","00:00",0,1,0,1,1,0,0,0,0,0,1,1,0,"2026-04-29","2026-04-29"
"28338","미리온타워점","경기도 의정부시 호국로 1340","104,105호","","37.7442860406602","127.052955314779","2024-08-04","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29"
"28339","고잔중앙점","경기도 안산시 단원구 이삭4길 12","102,103호","","37.3130474609571","126.840657606202","2024-08-21","","06:00","02:00",1,0,1,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28340","안양엘림점","경기도 안양시 만안구 삼막로96번길 23-22","","","37.4260048172403","126.915510029166","2024-08-01","","06:00","01:00",0,1,0,0,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28342","아산음봉소동점","충청남도 아산시 음봉면 연암율금로295번길 3-1","","","36.8693593350694","127.056255050526","2024-08-02","","06:00","23:00",0,1,0,1,1,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29"
"28343","NAVER그린팩토리점","경기도 성남시 분당구 불정로 6","27층","","37.3588602423595","127.105206334597","2024-08-26","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28345","진주엠코점","경상남도 진주시 초북로 77","상가 103,104,105호","","35.2135471515602","128.107319062477","2024-08-15","","00:00","00:00",1,1,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28346","서면삼정타워점","부산광역시 부산진구 중앙대로 672","","","35.153006221653","129.059606320437","2024-08-05","","10:00","02:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28347","광주신용센터점","광주광역시 북구 첨단연신로107번길 5-10","103호, 104호","","35.2069699956806","126.86359029011","2024-08-10","","06:00","01:00",0,1,0,0,0,0,0,0,0,0,1,0,0,"2026-04-29","2026-04-29"
"28349","강릉포남중앙점","강원특별자치도 강릉시 하평길 11","105호","","37.7701853379465","128.909962168913","2024-08-12","","07:00","00:00",0,1,0,1,0,0,1,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28350","광주운암대자로점","광주광역시 북구 대자로 104","","","35.1729688944565","126.883785151488","2024-08-05","","07:00","01:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28351","광양황금알점","전라남도 광양시 진상면 학연로 2","","","35.0187051778989","127.719985789325","2024-08-23","","06:00","01:00",0,0,0,1,1,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29"
"28352","담양담빛지구점","전라남도 담양군 담양읍 태왕2로 83-16","104호","","35.3155324205429","126.946222939312","2024-08-15","","06:00","01:00",0,0,0,0,0,0,0,0,0,0,1,0,0,"2026-04-29","2026-04-29"
"28354","군산미룡점","전북특별자치도 군산시 칠성안4길 20","1층","","35.9571394799914","126.676047586208","2024-08-15","","00:00","00:00",1,1,1,1,1,0,0,0,0,0,1,0,0,"2026-04-29","2026-04-29"
"28355","구미형곡도서관점","경상북도 구미시 형곡로5길 18","","","36.1146616874279","128.33486875325","2024-08-08","","07:00","01:00",0,0,0,1,1,0,0,0,1,0,0,1,0,"2026-04-29","2026-04-29"
"28356","SMART김포라인호텔점","경기도 김포시 통진읍 김포대로 2337","","","37.6946559701295","126.588240376599","2024-08-09","","06:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28357","영등포선유로점","서울특별시 영등포구 선유로 250","","","37.5347784618069","126.897295483431","2024-08-19","","07:00","01:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28359","SMART천안해오름주유소점","충청남도 천안시 동남구 목천읍 남부대로 949","","","36.7747601862134","127.219994714344","2024-08-09","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28360","용현엠코타운점","인천광역시 미추홀구 토금북로 53","101호","","37.4532581287174","126.639959395878","2024-08-27","","07:00","22:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28361","여수죽림힐스점","전라남도 여수시 소라면 덕양로 21-18","상가 131동 101호,102호,103호","","34.7624000297919","127.630908378853","2024-08-16","","07:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28362","당진고대점","충청남도 당진시 고대면 보덕포로 170","","","36.9250894052352","126.603000553878","2024-08-13","","06:00","23:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28363","범어제니스점","대구광역시 수성구 달구벌대로 2435","301동 지3층 106동","","35.8609892465636","128.628267994973","2024-08-13","","06:00","01:00",1,1,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28364","포항칠포리점","경상북도 포항시 북구 흥해읍 암각화길 51","","","36.1360427654289","129.385868394396","2024-08-16","","07:00","21:00",0,0,0,0,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28365","천연뜨란채점","서울특별시 서대문구 독립문로8길 54","B상가동 102호,103호","","37.5687909291458","126.958474382973","2024-08-23","","06:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28366","동탄역멀티플라이어점","경기도 화성시 동탄대로 676","지하1층 B108호","","37.2130580581112","127.101199251312","2024-08-22","","00:00","00:00",1,0,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28367","구로뉴타운점","서울특별시 구로구 개봉로3길 41","","","37.4861737722409","126.854038313854","2024-08-23","","07:00","01:00",0,0,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28368","전주반월삼오점","전북특별자치도 전주시 덕진구 반월5길 8-15","상가동 101호","","35.8733213013678","127.068735798645","2024-08-20","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28369","R알리스타방어점","울산광역시 동구 화잠2길 13","","","35.4836081058381","129.411128086937","2024-08-16","","00:00","00:00",1,0,0,0,1,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29"
"28370","뉴보은보청대로점","충청북도 보은군 보은읍 보청대로 1900","","","36.4887463119442","127.716536203291","2024-08-22","","05:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28371","서초영동점","서울특별시 서초구 남부순환로347길 64","1층","","37.4872385657881","127.030909484426","2024-08-19","","06:00","01:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28372","구의동국점","서울특별시 광진구 광나루로38길 74","","","37.5416567371022","127.087065869486","2024-08-20","","06:00","02:00",0,0,0,1,1,0,0,0,1,0,0,0,0,"2026-04-29","2026-04-29"
"28374","포항아이파크점","경상북도 포항시 남구 오천읍 정몽주로 252","","","35.9430564316024","129.407364921058","2024-08-20","","06:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28375","춘천원창고개길점","강원특별자치도 춘천시 동내면 원창고개길 274-2","","","37.8327322451617","127.762945527185","2024-08-14","","06:00","00:00",0,0,0,0,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28377","대전도안퍼스트점","대전광역시 유성구 도안북로 54-45","","","36.3289116557136","127.33481396092","2024-08-16","","06:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28378","대림신길점","서울특별시 영등포구  신길로15길 14","1층","","37.4971643966294","126.906784552303","2024-08-14","","06:00","01:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28379","연세대무악학사점","서울특별시 서대문구 연세로 50","연세대학교 무악2학사 B1","","37.5660508394158","126.943916239886","2024-08-26","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28380","호산원룸점","대구광역시 달서구 호산동로35길 22","","","35.8508521854208","128.484438401985","2024-08-19","","00:00","00:00",1,1,1,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28381","고덕공원점","경기도 평택시 고덕여염5길 56","1층","","37.0371812084086","127.042090940327","2024-08-31","","05:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28383","경산삼주봉황점","경상북도 경산시 진량읍 봉황길 70-1","상가9동 1층 102,103,108호","","35.8832991557634","128.825802118162","2024-08-28","","00:00","00:00",1,1,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28384","R명지국제신도시점","부산광역시 강서구 명지국제8로 246","110호","","35.0977390492054","128.919619916682","2024-08-20","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
