"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at"
"25596","케이조선바다관점","경상남도 창원시 진해구 명제로 60","바다관","","35.1042906063155","128.710368429667","2023-05-08","","00:00","00:00",1,0,0,0,0,0,0,0,1,0,0,0,0,"2026-04-29","2026-04-29"
"25597","케이조선미래관점","경상남도 창원시 진해구 명제로 60","K조선 미래관","","35.1042906063155","128.710368429667","2023-05-08","","00:00","00:00",1,0,0,0,0,0,0,0,1,0,0,0,0,"2026-04-29","2026-04-29"
"25636","R고령귀원점","경상북도 고령군 쌍림면 대가야로 571","","","35.6768328834614","128.239472319753","2023-05-06","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"25675","해운대엘본더스테이점","부산광역시 해운대구 구남로21번길 6","엘본더스테이 102호","","35.1622880291571","129.160782947498","2023-05-03","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"25676","R대전진잠교촌점","대전광역시 유성구 진잠로 103","","","36.3008014283912","127.31512997489","2023-05-05","","00:00","00:00",1,1,0,1,1,0,1,0,0,0,0,1,0,"2026-04-29","2026-04-29"
"25678","전남대제2학생마루점","광주광역시 북구 용봉로 77","전남대학교 제2학생회관","","35.1739175430866","126.911235470135","2023-05-09","","00:00","00:00",1,0,0,0,0,0,0,0,1,0,0,1,0,"2026-04-29","2026-04-29"
"25679","서산로드점","충청남도 서산시 음암면 서해로 4015","","","36.7856631553729","126.513282138696","2023-05-01","","06:00","22:00",0,0,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"25685","R을지로국도호텔점","서울특별시 중구 을지로 164","1층","","37.5661795200146","126.996298813484","2023-05-16","","06:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"25687","거제농소바다점","경상남도 거제시 장목면 거제북로 2620-1","","","35.0027110355923","128.700195372287","2023-05-01","","06:00","01:00",0,0,0,0,1,0,0,0,0,0,1,1,0,"2026-04-29","2026-04-29"
"25695","부평테마점","인천광역시 부평구 시장로12번길 24","1층","","37.49175193012","126.725806193467","2023-05-03","","00:00","00:00",1,1,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
