"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at"
"30024","향동프라자점","경기도 고양시 덕양구 향기로 58","","","37.5952067038195","126.892324652085","2026-01-03","","07:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"30070","서대문래미안점","서울특별시 서대문구 수색로 100","제1단지 제상가3동 제1층 제3-04호, 05","","37.5747334832097","126.907916083955","2026-01-08","","06:00","01:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"30071","금천유진점","서울특별시 금천구 두산로5길 58","","","37.473125495352","126.890886817574","2026-01-22","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"30072","상봉역점","서울특별시 중랑구 봉화산로30길 99(상봉동)","","","37.5977897767066","127.085396890267","2026-01-13","","06:00","01:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"30082","중앙보훈병원점","서울특별시 강동구 진황도로61길 53","중앙관 지하1층","","37.5284637471127","127.147925555901","2026-01-01","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"30083","완주고산터미널점","전북특별자치도 완주군 고산면 고산로 91","1층 1,2,3호","","35.9750691678933","127.2069046621","2026-01-05","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"30084","중앙경찰학교점","충청북도 충주시 수안보면 수회리로 138","중앙경찰학교, 학생회관 1층","","36.8774913056105","127.982427261764","2026-01-16","","06:00","21:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"30096","온천달북점","부산광역시 동래구 쇠미로129번길 66","지하1층 1호","","35.2053740309686","129.058896973613","2026-01-15","","06:00","01:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"30098","이천마장센터점","경기도 이천시 마장면 중앙로6번길 1","","","37.2522319602747","127.35451323815","2026-01-21","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"30099","병점주공7단지점","경기도 화성시 병점3로 146-11","","","37.2126429557293","127.048378275571","2026-01-16","","07:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"30100","원주센트럴점","강원특별자치도 원주시 능라동길 27","","","37.3333066753789","127.928050325149","2026-01-15","","07:00","02:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"30105","원주신월랑점","강원특별자치도 원주시 행구로 414","","","37.3433003374743","128.001967009299","2026-01-06","","07:00","22:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"30106","SMARTKT우면연구센터점","서울특별시 서초구 태봉로 151","KT우면연구센터 1층","","37.4713116404546","127.029358372208","2026-01-01","","08:00","17:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"30107","홍대역점","서울특별시 마포구 월드컵북로2길 7","","","37.5559969576598","126.921441613578","2026-01-16","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
