"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at"
"28871","간석4동점","인천광역시 남동구 석정로574번길 23-15","","","37.4667579079083","126.700453180433","2025-02-04","","07:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28872","전북정읍미소점","전북특별자치도 정읍시 중앙로 292","1층","","35.5591689896941","126.868147514263","2025-02-04","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28887","아주대요양병원점","경기도 수원시 영통구 월드컵로150번길 21","아주대요양병원 B1층","","37.2791278635412","127.049126661209","2025-02-05","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28888","부산보훈병원점","부산광역시 사상구 백양대로 420","본관1층","","35.1528918625836","129.008252267356","2025-02-05","","08:00","22:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28891","서강대우정원점","서울특별시 마포구 백범로 35","서강대학교 우정원","","37.5514649610226","126.942979960696","2025-02-06","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28892","와부율석리점","경기도 남양주시 와부읍 석실로 481","","","37.6103638258267","127.211162018629","2025-02-07","","06:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28893","안강점","경상북도 경주시 안강읍 화전길 99","301동 101호, 102호","","35.9920457411379","129.207627135574","2025-02-28","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28894","평산조아점","경상남도 양산시 평산중앙로 13","","","35.3802844357326","129.151658302498","2025-02-03","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28900","부산대본점","부산광역시 금정구 금강로321번길 39","1층","","35.2368648600458","129.084447740398","2025-02-24","","09:00","00:00",0,0,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28901","순천율촌산단점","전라남도 순천시 해룡면 율촌산단4로 77-1","5동","","34.9005256307578","127.586406113856","2025-02-12","","05:00","23:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28902","송도캐슬센트럴점","인천광역시 연수구 하모니로138번길 11","1동 117호","","37.3849625996123","126.642800057546","2025-02-03","","00:00","00:00",1,0,0,0,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28919","대전유천행복점","대전광역시 중구 유천로58번길 37","","","36.3183827426184","127.399689212596","2025-02-07","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28920","나주역자이점","전라남도 나주시 신월길 54","근생 4동 101호, 102호","","35.0141766054293","126.721549347569","2025-02-16","","00:00","00:00",1,1,0,0,1,0,0,0,0,0,1,1,0,"2026-04-29","2026-04-29"
"28921","천안한창이지엠점","충청남도 천안시 서북구 입장면 입장로 247","","","36.9235507629033","127.221151626583","2025-02-18","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28922","SMART순천덕월신보점","전라남도 순천시 덕월3길 24","","","34.9326454813928","127.488853644553","2025-02-12","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28924","은평연신점","서울특별시 은평구 연서로33길 20","","","37.6222794035312","126.923852064534","2025-02-23","","07:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28925","경국대학교위성학생회관점","경상북도 안동시 경동로 1375","안동대학교 학생회관","","36.5414384997503","128.79756403132","2025-02-28","","09:00","18:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
