"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at"
"21547","화성청우점","경기도 화성시 팔탄면 서해로 1409-9","","","37.1864801285657","126.88126000915","2021-01-12","","05:00","00:00",0,0,1,0,1,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29"
"21559","안성폴리점","경기도 안성시 아양1로 61","","","37.007623840312","127.259358045047","2021-01-05","","00:00","00:00",1,1,0,1,1,0,0,0,1,0,0,0,0,"2026-04-29","2026-04-29"
"21560","대성리역점","경기도 가평군 청평면 경춘로 64-1","","","37.681688233844","127.378230875611","2021-01-06","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"21562","R가평상천휴게소점","경기도 가평군 청평면 경춘로 1551","","","37.7873668262741","127.462898740974","2021-01-06","","06:00","20:00",0,0,0,0,0,0,1,0,0,0,1,1,0,"2026-04-29","2026-04-29"
"21563","R순천금당중흥점","전라남도 순천시 장선배기길 105","","","34.9517340664173","127.531135583166","2021-01-06","","00:00","00:00",1,1,0,1,1,0,0,0,1,0,1,1,0,"2026-04-29","2026-04-29"
"21564","R북삼인평점","경상북도 칠곡군 북삼읍 인강4길 24","","","36.0700971511126","128.340267995557","2021-01-29","","00:00","00:00",1,0,1,1,1,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29"
"21573","R목포해양대학점","전라남도 목포시 해양대학로 91","","","34.7899637493605","126.365826246406","2021-01-11","","08:00","18:00",1,0,0,0,0,0,1,0,0,0,0,1,0,"2026-04-29","2026-04-29"
"21585","R괴산칠성점","충청북도 괴산군 칠성면 도정로 67","","","36.7879475708896","127.864508323867","2021-01-25","","07:00","23:00",0,1,1,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"21587","스타필드코엑스몰4호점","서울특별시 강남구 영동대로 513(삼성동)","B1 C109호","","37.5118239121138","127.059159043842","2021-01-12","","07:00","23:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"21592","여주건은로점","경기도 여주시 가남읍 건은로 25","","","37.1957508752172","127.548435672938","2021-01-13","","00:00","00:00",1,0,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"21593","성수AK점","서울특별시 성동구 연무장길 76","","","37.5415059744829","127.057526618044","2021-01-13","","00:00","00:00",1,0,0,1,1,0,1,0,1,0,0,0,0,"2026-04-29","2026-04-29"
"21598","남원중앙하이츠점","전북특별자치도 남원시 동림로 129","","","35.4173412950769","127.382684924553","2021-01-15","","06:00","01:00",0,0,0,1,1,0,0,0,0,0,1,1,0,"2026-04-29","2026-04-29"
"21602","강서대저점","부산광역시 강서구 대저로 57","","","35.2152826880812","128.958863541201","2021-01-12","","06:00","00:00",0,0,0,0,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"21606","김포사우타운점","경기도 김포시 봉화로 54","","","37.620314709876","126.712407756915","2021-01-18","","00:00","00:00",1,1,0,1,1,0,1,0,1,0,1,0,0,"2026-04-29","2026-04-29"
"21611","효목화랑로점","대구광역시 동구 화랑로 145","","","35.8750922605612","128.641941197125","2021-01-27","","06:00","01:00",0,1,0,1,1,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29"
"21616","한국은행점","서울특별시 중구 남대문로5길 9","","","37.5617442432919","126.978862530774","2021-01-14","","07:00","01:00",0,0,1,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"21618","R내촌휴게소점","경기도 포천시 내촌면 금강로 2708","","","37.8080572717544","127.25351981462","2021-01-30","","00:00","00:00",1,0,0,1,1,0,0,0,0,0,1,1,0,"2026-04-29","2026-04-29"
"21619","천안두정오성점","충청남도 천안시 서북구 오성4길 12","","","36.8313993237338","127.132827786599","2021-01-20","","06:00","00:00",0,1,1,1,1,0,0,0,1,0,0,1,0,"2026-04-29","2026-04-29"
"21621","구룡포구포점","경상북도 포항시 남구 구룡포읍 동해안로 4131","","","35.9381789866961","129.525741538692","2021-01-22","","06:00","00:00",0,0,0,0,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
