"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at"
"02422","개봉로점","서울특별시 구로구 개봉로 56","","","37.4906772205495","126.856345223758","2100-12-31","2100-12-31","04:00","23:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"02553","검암으뜸점","인천광역시 서구 승학로 551","","","37.5666816945656","126.68060690761","2100-12-31","2100-12-31","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"04824","남구로명인점","서울특별시 구로구 디지털로27길 53","","","37.4837713378884","126.891050432775","2100-12-31","2100-12-31","06:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"05349","독립문e편한점","서울특별시 서대문구 독립문로1길 3-3","","","37.5707817762627","126.959798130106","2100-12-31","2100-12-31","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"05420","옥천상계점","충청북도 옥천군 옥천읍 향수길 79","","","36.3161903951652","127.583731630196","2100-12-31","2100-12-31","07:00","01:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"05512","가산비즈점","서울특별시 금천구 디지털로12길 9","","","37.4782149438045","126.889440092895","2100-12-31","2100-12-31","06:00","01:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"05518","인천터미널역점","인천광역시 미추홀구 예술로 지하 85","","","37.4419049500121","126.699690868667","2100-12-31","2100-12-31","06:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"05765","을지로부영점","서울특별시 중구 을지로 29","","","37.5664884462972","126.981025044659","2100-12-31","2100-12-31","07:00","23:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"05767","덕평휴게소점","경기도 이천시 마장면 덕이로154번길 287-76","","","37.2413744206469","127.393784579939","2100-12-31","2100-12-31","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"05846","상암자인채점","서울특별시 마포구 월드컵로34길 20","","","37.5654314241142","126.904395377457","2100-12-31","2100-12-31","07:00","01:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"06230","부천고강사거리점","경기도 부천시 역곡로 473","","","37.5268827132122","126.815832728964","2100-12-31","2100-12-31","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"06883","신현랜드마크점","인천광역시 서구 가정로 387","","","37.5216791482893","126.672750899506","2100-12-31","2100-12-31","06:00","01:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"07543","마포신수점","서울특별시 마포구  신수로 88","","","37.5491943802272","126.935170439897","2100-12-31","2100-12-31","07:00","02:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"07895","self코리아CC점","경기도 용인시 처인구 이동읍 기흥단지로 579","","","37.2194071623658","127.154846656677","2100-12-31","2100-12-31","06:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"08141","종로익선동점","서울특별시 종로구 삼일대로32길 54","","","37.5754852631434","126.98998339904","2100-12-31","2100-12-31","06:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"20102","시흥포동점","경기도 시흥시 신현로30번길 3","","","37.4068597766635","126.786158308988","2100-12-31","2100-12-31","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"20109","창동동아점","서울특별시 도봉구 노해로70길 12","","","37.6507504766757","127.049522721563","2100-12-31","2100-12-31","06:00","01:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"20148","평택서정점","경기도 평택시 서정남로 131","","","37.0610350176369","127.053862314541","2100-12-31","2100-12-31","07:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"23001","익산(삭제)","전북특별자치도 익산시 오산면 군익로 411","장신휴먼시아1차상가","","35.9454443652573","126.931640139399","2100-12-31","2100-12-31","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"23749","인천작전역점","인천광역시 계양구 계양대로 지하73","작전역지하상가 2-2호","","37.5303126519591","126.722569611095","2100-12-31","2100-12-31","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"23750","인천계산역점","인천광역시 계양구 경명대로 지하1089","계산역사내 6호","","37.5432900176718","126.728080590524","2100-12-31","2100-12-31","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24260","R전주덕진점","전북특별자치도 전주시 덕진구 우아3길 20","","","35.8487266358456","127.154833416644","2100-12-31","2100-12-31","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24447","부산대연점","부산광역시 남구 유엔로201번길 78","","","35.1336677176398","129.098299837245","2100-12-31","2100-12-31","07:00","01:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24480","삭제점","인천광역시 중구 공항로424번길 43","","","37.4424071774866","126.462009349219","2100-12-31","2100-12-31","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24651","온천천점","부산광역시 금정구 오시게로54번길 2","","","35.2220017125885","129.087948140024","2100-12-31","2100-12-31","07:00","01:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24726","천안용곡점","충청남도 천안시 동남구 풍세로 769-28","상가동지층 120호","","36.7797034124992","127.138721867446","2100-12-31","2100-12-31","06:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24837","밀양나노밸리점","경상남도 밀양시 창밀로 3518","","","35.5064804176764","128.733320445314","2100-12-31","2100-12-31","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"25618","삭제","경기도 안산시 단원구 와동로 49","","","37.334860384229","126.829300427919","2100-12-31","2100-12-31","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"25736","영남대점","경상북도 경산시  대학로 285","","","35.8367831434684","128.753307963604","2100-12-31","2100-12-31","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"27090","삭제","광주광역시 광산구 장덕로137번길 39","","","35.1982877170536","126.822921476365","2100-12-31","2100-12-31","07:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
