"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at"
"00545","간석점","인천광역시 남동구 동암남로 34번길 50","","","37.4682906535805","126.707046423928","2014-11-03","","06:00","01:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"00581","목동공원점","서울특별시 양천구 목동서로 133-2(목동)","목동하나프라자 107호","","37.5316029751694","126.875987719154","2014-11-30","","07:00","01:00",0,0,0,0,0,0,0,1,0,0,0,0,0,"2026-04-29","2026-04-29"
"00603","부천오정점","경기도 부천시 상오정로17","","","37.5243093905319","126.785871604439","2014-11-28","","00:00","00:00",1,0,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
