"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at"
"00523","수지희망점","경기도 용인시 수지구 수지로296번길 51-11(풍덕천동)","","","37.3221767227926","127.095281509162","2014-12-08","","08:00","23:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"00737","안산초지점","경기도 안산시 단원구 신촌4길 41","","","37.3145186621399","126.820097509407","2014-12-29","","00:00","00:00",1,0,1,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"00752","여주태평점","경기도 여주시 가남읍 태평중앙2길 6-1","","","37.2024431207681","127.545872581","2014-12-31","","09:00","00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
