"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at","current_month_file"
"28726","전주중산마을점","전북특별자치도 전주시 완산구 산월2길 9","","","35.8139729375188","127.121878079519","2024-12-23","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28731","순천조례비봉점","전라남도 순천시 비봉길 67","","","34.9665534992768","127.520266389021","2024-12-16","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28732","해운대오션점","부산광역시 해운대구 해운대해변로 203","","","35.1587845434634","129.153803646306","2024-12-16","","00:00","00:00",1,0,0,0,0,0,0,0,1,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28733","태안청포대점","충청남도 태안군 남면 청포대길 79","","","36.6411069935769","126.302206417937","2024-12-16","","07:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28734","군산오식도타운점","전북특별자치도 군산시 요죽4길 51-2","","","35.964835658431","126.561415555182","2024-12-17","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28735","SMARTSN독학기숙학원양평점","경기도 양평군 용문면 용문로 147","","","37.4829509409128","127.573956297853","2024-12-28","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28736","대구반월당점","대구광역시 중구 중앙대로 372","","","35.8663273725966","128.593683668871","2024-12-18","","07:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28737","수원센트라우스점","경기도 수원시 권선구 세화로168번길 12","정안빌딩102,103,104호","","37.266732019222","126.994084314776","2024-12-25","","06:00","01:00",0,1,0,1,1,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29","2024/12"
"28740","가평어비랜드점","경기도 가평군 설악면 어비산길 115","","","37.5979476718816","127.504542929275","2024-12-29","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28742","안산병원점","경기도 안산시 상록구 구룡로 87","A동 1층","","37.3167867532789","126.873990788039","2024-12-27","","08:00","22:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28743","안성내혜홀점","경기도 안성시 내혜홀3길 21","101호","","37.0055704392681","127.264674676458","2024-12-28","","07:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
