code,title,sido,sigungu,lat,lng,first_seen_at,last_seen_at
20431,센트럴시티3호점,서울특별시,서초구,37.5039351769908,127.002413006799,2026-04-29,2026-04-29
20454,군산코오롱점,전북특별자치도,군산시,35.9687012683186,126.680867225837,2026-04-29,2026-04-29
20457,대림차이나점,서울특별시,영등포구,37.4902162195102,126.898192942068,2026-04-29,2026-04-29
20462,R포천궁말점,경기도,포천시,37.8138989334347,127.187287694636,2026-04-29,2026-04-29
20475,감천용정점,부산광역시,사하구,35.0805215224757,129.011385250741,2026-04-29,2026-04-29
20487,대구산격점,대구광역시,북구,35.8971271634778,128.610584602352,2026-04-29,2026-04-29
20489,S경전철공항역점,부산광역시,강서구,35.1719068103559,128.948586846191,2026-04-29,2026-04-29
20492,동부이촌점,서울특별시,용산구,37.5209638923838,126.974643871051,2026-04-29,2026-04-29
20503,사천케이블카점,경상남도,사천시,34.9325716488429,128.052570839768,2026-04-29,2026-04-29
20517,익산마동코아루점,전북특별자치도,익산시,35.9453947401599,126.963487608014,2026-04-29,2026-04-29
20524,춘천근화점,강원특별자치도,춘천시,37.8734550096054,127.717049823328,2026-04-29,2026-04-29
20526,경북대남문점,대구광역시,북구,35.8856016448563,128.609809198655,2026-04-29,2026-04-29
20531,경주부영점,경상북도,경주시,35.6753828429449,129.332216007389,2026-04-29,2026-04-29
20533,독산정다운점,서울특별시,금천구,37.4677396181562,126.892560078342,2026-04-29,2026-04-29
20534,삼융시네마점,경기도,파주시,37.7131570773604,126.759892016322,2026-04-29,2026-04-29
20536,한빛원전본부점,전라남도,영광군,,,2026-04-29,2026-04-29
20537,한빛1발전소점,전라남도,영광군,,,2026-04-29,2026-04-29
20538,한빛2발전소점,전라남도,영광군,,,2026-04-29,2026-04-29
20539,한빛3발전소점,전라남도,영광군,,,2026-04-29,2026-04-29
20559,한빛원전사택점,전라남도,영광군,35.4028501279669,126.451840187469,2026-04-29,2026-04-29
