"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at"
"28411","조선대경상대위성점","광주광역시 동구 조선대길 73","","","35.1446585453374","126.930934033924","2024-09-02","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28413","상록한양점","경기도 안산시 상록구 후곡로 19","1층 101호","","37.297260851853","126.84587711794","2024-09-13","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28415","R뉴배곧건영테크노점","경기도 시흥시 서울대학로 59-49","1층 127~128호","","37.3597186457485","126.708537136661","2024-09-06","","06:00","00:00",1,1,0,1,1,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29"
"28418","서서울모터리움점","서울특별시 강서구 양천로53길 30","102호","","37.5665728928785","126.846907713648","2024-09-03","","07:00","20:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28426","원주시청점","강원특별자치도 원주시 시청로 1","원주시청 지하1층","","37.3418962030101","127.919705385474","2024-09-09","","07:00","20:00",0,1,0,0,1,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29"
"28427","안양석수점","경기도 안양시 만안구 양화로234번길 15","101호","","37.4132782390973","126.907144569599","2024-09-02","","07:00","00:00",0,1,1,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28430","용인초당역점","경기도 용인시 기흥구 동백중앙로 61-5","1층","","37.2612010292371","127.161471503473","2024-09-07","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28432","시흥별사랑점","경기도 시흥시 정왕천로423번길 28","","","37.3466977765176","126.750564575012","2024-09-10","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28433","부천양지마을점","경기도 부천시 소사구 소사동로 170","109호","","37.4774612526793","126.812221212811","2024-09-06","","06:00","01:00",0,1,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28434","한강파라다이스점","서울특별시 영등포구 여의동로 252","한강파라다이스","","37.5228372415324","126.941575147015","2024-09-06","","11:00","23:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28438","태안안면도점","충청남도 태안군 안면읍 안면대로 1828","","","36.5980988632981","126.324052390545","2024-09-03","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28439","당진면천점","충청남도 당진시 면천면 한천로 865","1층","","36.815381941251","126.666481464611","2024-09-10","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28440","무거삼호점","울산광역시 남구 어은로 24","1층","","35.5511289262795","129.274222545469","2024-09-05","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"28441","평택송탄점","경기도 평택시 서정로 220","","","37.0659453198832","127.057700844915","2024-09-04","","00:00","00:00",1,0,1,1,1,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29"
"28442","시화번영점","경기도 안산시 단원구 첨단로 49","","","37.3123582915711","126.729021715421","2024-09-03","","00:00","00:00",1,1,1,0,1,0,0,0,1,0,0,1,0,"2026-04-29","2026-04-29"
"28444","시화만개점","경기도 안산시 단원구 번영로 67","가동 1층","","37.3169145896155","126.733167760819","2024-09-03","","00:00","00:00",1,1,1,0,1,0,1,0,1,0,0,1,0,"2026-04-29","2026-04-29"
"28446","상록부승점","경기도 안산시 상록구 고목로2길 18","1층","","37.2837718733871","126.857827967075","2024-09-24","","05:00","01:00",0,1,1,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
